1,20
2,45
3,76
4,115
5,164
6,218
7,277
8,342
9,413
10,492
11,579
12,674
13,778
14,894
15,1020
16,1159
17,1313
18,1481
19,1667
20,1871
21,2095
22,2342
23,2613
24,2912
25,3240
26,3602
27,3999
28,4436
29,4917
30,5446
31,6028
32,6669
33,7373
34,8147
35,8999
36,9936
37,10967
38,12101
39,13349
40,14721
41,16162
42,17675
43,19263
44,20931
45,22682
46,24521
47,26452
48,28479
49,30608
50,32843
51,35190
52,37654
53,40242
54,42959
55,45811
56,48807
57,51952
58,55254
59,58722
60,62362
61,66185
62,70199
63,74414
64,78840
65,83486
66,88365
67,93488
68,98867
69,104516
70,110446
71,116673
72,123212
73,130077
74,137285
75,144855
76,152802
77,161147
78,169909
79,179109
80,188769
81,198912
82,209563
83,220746
84,232488
85,244817
86,257762
87,271355
88,285628
89,300614
90,316349
91,332872
92,350220
93,368436
94,387562
95,407645
96,428732
97,450873
98,474122
99,498533
100,1000000
