1,21
2,48
3,84
4,130
5,190
6,255
7,327
8,404
9,489
10,581
11,682
12,791
13,911
14,1041
15,1183
16,1338
17,1507
18,1691
19,1891
20,2109
21,2348
22,2607
23,2890
24,3198
25,3535
26,3901
27,4300
28,4736
29,5210
30,5727
31,6291
32,6906
33,7575
34,8305
35,9101
36,9969
37,10914
38,11945
39,13068
40,14292
41,15627
42,17082
43,18667
44,20332
45,22080
46,23916
47,25843
48,27867
49,29992
50,32223
51,34565
52,37025
53,39608
54,42320
55,45168
56,48158
57,51297
58,54593
59,58055
60,61689
61,65505
62,69512
63,73719
64,78136
65,82775
66,87645
67,92759
68,98128
69,103766
70,109686
71,115902
72,122428
73,129281
74,136477
75,144032
76,151966
77,160295
78,169042
79,178225
80,187868
81,197993
82,208624
83,219787
84,231508
85,243815
86,256737
87,270306
88,284552
89,299512
90,315219
91,331711
92,349028
93,367211
94,386303
95,406350
96,427399
97,449501
98,472707
99,497074
100,1000000
